,two_average TP,two_average FP,two_average FN,two_average TN,matched_filter TP,matched_filter FP,matched_filter FN,matched_filter TN,swt TP,swt FP,swt FN,swt TN,engzee TP,engzee FP,engzee FN,engzee TN,christov TP,christov FP,christov FN,christov TN,hamilton TP,hamilton FP,hamilton FN,hamilton TN,pan_tompkins TP,pan_tompkins FP,pan_tompkins FN,pan_tompkins TN
101,742,1126,1123,647009,655,1212,1210,646923,237,1628,1628,646507,657,1196,1208,646939,32,8035,1833,640100,938,930,927,647205,688,1180,1177,646955
113,858,936,937,647269,813,1037,982,647168,198,1596,1597,646609,781,1013,1014,647192,0,0,0,0,783,1012,1012,647193,266,1530,1529,646675
103,1311,773,773,647143,826,1254,1258,646662,279,1804,1805,646112,640,1443,1444,646473,0,0,0,0,248,1834,1836,646082,560,1521,1524,646395
117,1,1534,1534,646931,2,3040,1533,645425,0,1536,1535,646929,1,1534,1534,646931,0,0,0,0,3,1922,1532,646543,60,1475,1475,646990
0,1130,1346,1346,646178,2290,186,186,647338,153,2323,2323,645201,1479,996,997,646528,0,0,0,0,0,2476,2476,645048,0,0,0,0
121,637,1227,1226,646910,1181,685,682,647452,205,1695,1658,646442,655,1245,1208,646892,0,0,0,0,226,1639,1637,646498,321,1542,1542,646595
233,899,2175,2180,644746,1004,2084,2075,644837,1057,2001,2022,644920,1339,1321,1740,645600,31,8818,3048,638103,544,2520,2535,644401,760,2314,2319,644607
123,0,1527,1518,646955,246,1274,1272,647208,556,958,962,647524,8,1507,1510,646975,18,8744,1500,639738,34,1481,1484,647001,209,1306,1309,647176
230,213,2043,2043,645701,258,1998,1998,645746,294,1962,1962,645782,54,2202,2202,645542,17,7150,2239,640594,38,2218,2218,645526,168,2088,2088,645656
221,1502,966,925,646607,692,1734,1735,645839,891,1360,1536,646213,430,1784,1997,645789,0,0,0,0,140,2267,2287,645306,3,2418,2424,645155
209,600,2406,2405,644589,821,2186,2184,644809,370,2634,2635,644361,429,2572,2576,644423,843,2162,2162,644833,606,2400,2399,644595,101,2904,2904,644091
106,913,1171,1114,646802,789,1236,1238,646737,828,877,1199,647096,828,1197,1199,646776,17,5586,2010,642387,712,1288,1315,646685,556,1471,1471,646502
200,1151,1463,1450,645936,291,2314,2310,645085,372,2258,2229,645141,270,1728,2331,645671,0,0,0,0,244,2353,2357,645046,90,2512,2511,644887
217,1,2205,2207,645587,0,2226,2208,645566,5,2196,2203,645596,179,769,2029,647023,28,2174,2180,645618,21,2182,2187,645610,415,1793,1793,645999
0,937,1650,1635,645778,812,1814,1760,645614,813,1765,1759,645663,1591,972,981,646456,0,0,0,0,16,2734,2556,644694,0,0,0,0
231,798,1205,773,647224,1369,202,202,648227,728,837,843,647592,1278,292,293,648137,0,0,0,0,168,1404,1403,647025,472,1099,1099,647330
219,1106,1106,1048,646740,523,1629,1631,646217,948,1202,1206,646644,1399,701,755,647145,0,0,0,0,1084,1058,1070,646788,273,1882,1881,645964
